k,d,ek,ed,roundswing,adr,eadr,kast,ekast,rating,playerid,matchid,sideid,mapid,teamid
43.0,36.0,44.0,36.0,3.42,83.6,84.2,73.6,74.6,1.37,22613,2389451,0,0,9996
42.0,38.0,40.0,41.0,1.49,81.9,81.3,77.4,76.0,1.15,14737,2389451,0,0,9996
39.0,42.0,41.0,43.0,-2.32,81.7,82.4,71.7,73.0,1.06,20394,2389451,0,0,9996
28.0,37.0,29.0,37.0,-4.15,63.6,63.5,73.6,75.5,0.83,14736,2389451,0,0,9996
27.0,37.0,27.0,37.0,-3.87,54.8,55.5,69.8,67.3,0.75,12092,2389451,0,0,9996
29.0,18.0,31.0,19.0,3.15,111.6,114.5,80.8,80.9,1.6,20394,2389451,1,0,9996
20.0,18.0,18.0,20.0,4.39,79.8,77.8,80.8,76.4,1.16,14737,2389451,1,0,9996
17.0,17.0,16.0,17.0,-2.25,67.6,65.7,69.2,67.2,0.91,22613,2389451,1,0,9996
14.0,17.0,14.0,18.0,-2.83,59.8,59.3,76.9,73.5,0.79,12092,2389451,1,0,9996
13.0,16.0,13.0,17.0,-5.16,60.2,58.6,69.2,68.4,0.73,14736,2389451,1,0,9996
26.0,19.0,28.0,19.0,8.88,99.0,101.9,77.8,81.7,1.82,22613,2389451,2,0,9996
22.0,20.0,22.0,21.0,-1.29,83.9,84.7,74.1,75.6,1.14,14737,2389451,2,0,9996
15.0,21.0,16.0,20.0,-3.17,67.0,68.3,77.8,82.4,0.93,14736,2389451,2,0,9996
13.0,20.0,13.0,19.0,-4.87,50.1,51.8,63.0,61.4,0.71,12092,2389451,2,0,9996
10.0,24.0,10.0,24.0,-7.59,52.9,51.6,63.0,65.3,0.53,20394,2389451,2,0,9996
41.0,34.0,42.0,34.0,4.35,92.0,93.8,75.5,70.9,1.37,15914,2389451,0,0,11571
46.0,44.0,48.0,47.0,1.7,80.4,80.2,77.4,78.9,1.18,9219,2389451,0,0,11571
32.0,29.0,30.0,31.0,1.99,77.6,76.3,71.7,70.6,1.09,8565,2389451,0,0,11571
40.0,33.0,39.0,34.0,-0.75,71.6,68.9,75.5,70.7,1.04,17861,2389451,0,0,11571
30.0,39.0,32.0,40.0,-1.88,63.0,62.4,75.5,71.1,0.88,9482,2389451,0,0,11571
26.0,18.0,27.0,19.0,6.59,109.1,110.4,77.8,73.6,1.59,15914,2389451,1,0,11571
26.0,22.0,26.0,24.0,3.82,93.9,90.8,77.8,75.5,1.27,9219,2389451,1,0,11571
22.0,14.0,22.0,15.0,0.8,76.0,73.7,81.5,74.4,1.15,17861,2389451,1,0,11571
17.0,15.0,17.0,17.0,0.06,74.5,73.9,81.5,77.5,0.98,8565,2389451,1,0,11571
12.0,17.0,12.0,17.0,-3.23,59.3,60.4,77.8,66.1,0.75,9482,2389451,1,0,11571
15.0,14.0,14.0,13.0,4.0,80.8,78.7,61.5,63.4,1.21,8565,2389451,2,0,11571
15.0,16.0,15.0,14.0,2.03,74.2,76.6,73.1,68.2,1.15,15914,2389451,2,0,11571
20.0,22.0,22.0,22.0,-0.5,66.3,69.1,76.9,82.4,1.08,9219,2389451,2,0,11571
18.0,22.0,19.0,22.0,-0.47,66.8,64.6,73.1,76.4,1.02,9482,2389451,2,0,11571
18.0,19.0,16.0,19.0,-2.35,67.2,64.0,69.2,66.8,0.92,17861,2389451,2,0,11571
