k,d,ek,ed,roundswing,adr,eadr,kast,ekast,rating,playerid,matchid,sideid,mapid,teamid
32.0,24.0,33.0,25.0,1.82,101.9,102.2,73.3,82.3,1.52,20394,2389451,0,4,9996
23.0,21.0,24.0,21.0,3.95,79.5,81.3,63.3,64.8,1.32,22613,2389451,0,4,9996
20.0,23.0,18.0,25.0,1.58,80.8,79.0,66.7,63.2,1.01,14737,2389451,0,4,9996
14.0,23.0,15.0,23.0,-5.16,51.3,52.5,63.3,65.2,0.72,14736,2389451,0,4,9996
11.0,22.0,12.0,22.0,-5.44,52.4,57.3,73.3,75.9,0.68,12092,2389451,0,4,9996
22.0,11.0,24.0,11.0,8.34,131.1,134.9,73.3,75.5,2.15,20394,2389451,1,4,9996
9.0,11.0,9.0,11.0,-2.32,69.1,70.5,60.0,61.0,0.87,22613,2389451,1,4,9996
9.0,12.0,8.0,13.0,2.54,70.3,68.9,66.7,60.8,0.87,14737,2389451,1,4,9996
7.0,10.0,9.0,10.0,-3.51,51.9,59.7,80.0,84.4,0.84,12092,2389451,1,4,9996
5.0,10.0,5.0,10.0,-6.06,52.3,54.2,53.3,55.3,0.62,14736,2389451,1,4,9996
14.0,10.0,15.0,10.0,10.21,89.9,92.0,66.7,68.5,1.77,22613,2389451,2,4,9996
11.0,11.0,10.0,11.0,0.63,91.3,89.1,66.7,65.5,1.15,14737,2389451,2,4,9996
10.0,13.0,10.0,14.0,-4.69,72.8,69.4,73.3,89.1,0.88,20394,2389451,2,4,9996
9.0,13.0,9.0,13.0,-4.26,50.2,50.8,73.3,75.1,0.81,14736,2389451,2,4,9996
4.0,12.0,3.0,11.0,-7.36,52.8,54.8,66.7,67.4,0.52,12092,2389451,2,4,9996
27.0,20.0,28.0,20.0,5.14,90.7,90.7,70.0,71.5,1.46,15914,2389451,0,4,11571
28.0,23.0,30.0,25.0,0.97,80.2,81.6,76.7,77.5,1.26,9219,2389451,0,4,11571
19.0,16.0,18.0,17.0,2.56,84.8,81.6,73.3,74.3,1.15,8565,2389451,0,4,11571
21.0,18.0,19.0,19.0,-2.66,69.1,65.8,80.0,78.6,0.94,17861,2389451,0,4,11571
17.0,23.0,18.0,24.0,-2.77,68.9,69.1,76.7,75.5,0.91,9482,2389451,0,4,11571
15.0,10.0,16.0,10.0,6.93,99.2,100.9,73.3,75.6,1.58,15914,2389451,1,4,11571
16.0,11.0,17.0,11.0,4.05,97.0,98.2,80.0,78.2,1.48,9219,2389451,1,4,11571
9.0,7.0,9.0,8.0,3.05,75.9,77.2,86.7,82.6,1.15,8565,2389451,1,4,11571
12.0,8.0,11.0,9.0,-2.05,82.1,78.6,80.0,77.0,1.04,17861,2389451,1,4,11571
6.0,12.0,6.0,12.0,-6.51,59.3,61.4,73.3,69.0,0.63,9482,2389451,1,4,11571
12.0,10.0,12.0,9.0,3.35,82.1,80.6,66.7,67.3,1.33,15914,2389451,2,4,11571
11.0,11.0,12.0,12.0,0.98,78.5,76.8,80.0,82.0,1.2,9482,2389451,2,4,11571
10.0,9.0,9.0,9.0,2.06,93.7,86.1,60.0,66.0,1.16,8565,2389451,2,4,11571
12.0,12.0,13.0,13.0,-2.12,63.3,65.1,73.3,76.8,1.05,9219,2389451,2,4,11571
9.0,10.0,7.0,11.0,-3.27,56.2,52.9,80.0,80.1,0.84,17861,2389451,2,4,11571
20.0,15.0,20.0,16.0,2.74,89.0,88.0,87.0,87.5,1.46,22613,2389451,0,2,9996
22.0,15.0,22.0,16.0,1.38,83.3,84.4,91.3,92.7,1.35,14737,2389451,0,2,9996
14.0,14.0,14.0,14.0,-2.84,79.8,78.0,87.0,89.0,1.01,14736,2389451,0,2,9996
16.0,15.0,15.0,15.0,-1.82,58.0,53.2,65.2,56.2,0.85,12092,2389451,0,2,9996
7.0,18.0,8.0,18.0,-7.73,55.3,56.7,69.6,60.8,0.58,20394,2389451,0,2,9996
11.0,6.0,10.0,7.0,6.91,92.7,90.0,100.0,97.7,1.58,14737,2389451,1,2,9996
7.0,7.0,8.0,7.0,-3.93,85.1,86.7,90.9,88.2,0.98,20394,2389451,1,2,9996
8.0,6.0,7.0,6.0,-2.15,65.6,59.2,81.8,75.6,0.96,22613,2389451,1,2,9996
8.0,6.0,8.0,7.0,-3.95,70.9,64.7,90.9,86.1,0.9,14736,2389451,1,2,9996
7.0,7.0,5.0,8.0,-1.89,70.5,58.8,72.7,58.7,0.75,12092,2389451,1,2,9996
12.0,9.0,13.0,9.0,7.23,110.4,114.4,91.7,98.3,1.92,22613,2389451,2,2,9996
11.0,9.0,12.0,9.0,-3.69,74.6,79.2,83.3,88.2,1.14,14737,2389451,2,2,9996
6.0,8.0,6.0,7.0,-1.82,87.9,90.3,83.3,91.6,1.1,14736,2389451,2,2,9996
9.0,8.0,9.0,8.0,-1.75,46.7,48.0,58.3,53.8,0.95,12092,2389451,2,2,9996
0.0,11.0,0.0,10.0,-11.21,27.9,29.3,50.0,35.6,0.21,20394,2389451,2,2,9996
14.0,14.0,14.0,14.0,3.31,93.7,97.9,82.6,70.3,1.28,15914,2389451,0,2,11571
19.0,15.0,20.0,15.0,1.75,74.9,73.0,69.6,60.4,1.18,17861,2389451,0,2,11571
18.0,21.0,18.0,22.0,2.66,80.7,78.3,78.3,80.7,1.07,9219,2389451,0,2,11571
13.0,13.0,12.0,14.0,1.26,68.3,69.3,69.6,65.7,1.03,8565,2389451,0,2,11571
13.0,16.0,13.0,16.0,-0.72,55.3,53.8,73.9,65.5,0.86,9482,2389451,0,2,11571
11.0,8.0,11.0,9.0,6.15,121.6,122.3,83.3,71.1,1.62,15914,2389451,1,2,11571
10.0,6.0,11.0,6.0,4.36,68.3,67.5,83.3,71.1,1.31,17861,2389451,1,2,11571
10.0,11.0,9.0,13.0,3.53,90.0,81.6,75.0,72.1,1.03,9219,2389451,1,2,11571
6.0,5.0,6.0,5.0,0.88,59.2,59.1,83.3,62.5,0.92,9482,2389451,1,2,11571
8.0,8.0,7.0,9.0,-3.68,72.8,69.9,75.0,71.2,0.79,8565,2389451,1,2,11571
5.0,5.0,5.0,4.0,6.65,63.4,68.7,63.6,59.8,1.29,8565,2389451,2,2,11571
8.0,10.0,9.0,9.0,1.7,70.5,74.6,81.8,90.0,1.12,9219,2389451,2,2,11571
9.0,9.0,9.0,8.0,-1.1,82.1,79.1,54.5,48.7,1.05,17861,2389451,2,2,11571
3.0,6.0,3.0,5.0,0.22,63.3,71.2,81.8,69.4,0.9,15914,2389451,2,2,11571
7.0,11.0,7.0,11.0,-2.46,50.9,48.0,63.6,68.8,0.79,9482,2389451,2,2,11571
