name,teamID
Underground,12707
The QUBE,12825
Players,11711
Legion,10287
Phoenix,12909
Partizan,11838
GameHunters,12988
ComeBack,13506
Nemesis Impact,13405
Flame Sharks fe,13406
Zomblers,12164
Fingers Crossed fe,13516
EC BANGA,12568
NomadS,12900
InControl,7720
KHAN,11175
Four Magic fe,13451
8Sins,13024
Peekaboo,13393
ALLINNERS,12812
Young Ninjas,10960
thekillaz fe,12912
888aura,13383
Akimbo,12567
GATERON,13102
LITE,13542
m1x,7376
Curralzinho,13417
FACEITPLAYERS,13441
Black Mold,13143
Aether,12908
BIG Academy,10254
Ghost,7801
japczany,13614
Nocturnal,13398
hindsight,13395
AKA HERO KAJO,13142
wwaves,13381
ScarX,13217
Dusty Roses,13412
LAG,11955
Underground,12707
Lotus fe,12702
Money Crew,13469
IHC,11585
Vantage,12455
SINQU,13571
777,10943
Outfit 49,13294
G2 Ares,12889
Bad Luck,13342
Four Magic,13520
Tricked,4602
CALAOSCORNOS,13556
Fuego,13511
GameHunters,12988
Prison Breakers,13512
Crashers,6788
TSG,13328
F5,13201
Take Flyte,11660
Straight2Killin,13180
rottweilers,13643
Pulse,13559
BIG,7532
FUT Academy,13474
THE,12955
Reign Above,13425
VRSoholics,13485
ex-HEROIC Academy,13431
INFINITE,10823
Getting Info,13106
The Glecs,13369
Passion UA,12426
Fingers Crossed,13466
BBBMBCBS,11109
HubaBuba,13453
Betclic,12916
The Glecs,13369
R2,13327
Wildcard Academy,13127
FURY,10299
NuTorious,12973
Wanted Goons,12971
Square Sausages,13434
amateurs,13515
Aether,12908
CAPIVARAS,12463
Players,11711
KZG,12152
Little Bocks,11497
SENZA,13352
Animus Victoria,13316
IHC,11585
paiN Academy,11905
ex-TALON,13212
MIBR Academy,3044
Chinggis Warriors,12646
NYX,13397
Timewaves,13543
Keyd Stars,6033
ECLOT,7441
anything else,13206
EXSAD,13047
Falcons Force,13321
Memeories,13534
GLORE,11988
ex-Inner Circle,13459
HereWeGoAgain,13629
MAGICOS,13265
MAGICOS,13265
MIGHT,12483
Charrados,13519
Arrival Seven,13353
ELITES,13624
