name,teamID
FURIA,8297
Vitality,9565
Falcons,11283
PARIVISION,12467
Natus Vincere,4608
Spirit,7020
MOUZ,4494
FaZe,6667
The MongolZ,6248
B8,11241
Aurora,11861
Liquid,5973
Legacy,12468
GamerLegion,9928
G2,5995
3DMAX,4914
Astralis,6665
HEROIC,7175
Ninjas in Pyjamas,4411
paiN,4773
NRG,6673
M80,12376
Passion UA,12426
Gentle Mates,13404
FUT,13286
HOTU,11581
FlyQuest,12774
BC.Game,12878
MIBR,9215
BetBoom,12394
BIG,7532
Imperial,9455
EYEBALLERS,11737
9INE,10278
fnatic,4991
Monte,11811
Sharks,8113
Alliance,12474
K27,12895
Inner Circle,13117
ECSTATIC,11419
Friendly Campers,13547
CYBERSHOKE,12380
SINNERS,10577
BESTIA,12144
ENCE,4869
Lynn Vision,8840
Nuclear TigeRES,13027
Tricked,4602
BIG,7532
magic,13592
Sashi,11712
Gaimin Gladiators,11571
Nemesis,13355
Johnny Speeds,12604
Oramond,13470
Fluxo,11837
OG,10503
RED Canids,7176
Marsborne,13124
KOLESIE,13314
Rare Atom,11514
AM,13237
9z,9996
Virtus.pro,5378
GenOne,11609
Sangal,10333
TYLOO,4863
MOUZ NXT,11176
Nemiga,7969
Morningstar,13602
Voca,13499
illwill,13501
500,12000
BET-M,13619
MIBR fe,10975
The Huns,12510
ex-RUBY,13617
HAVU,7865
Fingers Crossed,13466
Betclic,12916
BIG EQUIPA,11718
ARCRED,10459
Metizport,11641
1win,10621
JiJieHao,10245
ODDIK,11768
9z,9996
Phantom,13173
FAVBET,12818
SPARTA,13214
Fire Flux,12960
ASTRAL,13333
MINLATE,6626
Rave,13414
Nemesis,13355
STATE,13623
Leo,11446
Fake do Biru,13081
AaB,9621
UNiTY,12267
SemperFi,12901
FORZE Reload,12857
ShindeN,12959
Acend,13518
OlyBet,13551
megoshort,11018
Rebels,12642
Wildcard,12257
ALGO,13163
Gaimin Gladiators,11571
Lazer Cats,12087
Ursa,13231
FengDa,12899
BC.Game,12878
los kogutos,10854
Nexus,7187
Chinggis Warriors,12646
Yawara,11933
Spirit Academy,7900
ex-Zero Tenacity,13573
BOSS,12534
Bounty Hunters,12776
Galorys,12677
NOVAQ,13178
Omega,13479
DEPO,12536
Partizan,11838
Atrix,12533
Keyd Stars,6033
WW,12967
kONO,12858
HEROIC Academy,13233
CPH Wolves,4548
Eternal Fire,11251
WHITEBIRD,13583
Bebop,13613
Mindfreak,11668
Partizan,11838
Dusty Roots,12548
Keyd Stars,6033
NIP Impact,11917
Prestige,13159
Famalicão,13364
Lilmix,9735
FURIA fe,10976
Eternal Fire,11251
Mousquetaires,13251
THUNDER dOWNUNDER,13486
MASONIC,10867
CSDIILIT,13340
AMKAL,12586
Impulse GW,13266
ENCE Academy,11790
Rooster,9881
Sakura,13531
9BOOMPRO,13380
BRUTE,9139
Ground Zero,8536
ALLINNERS,12812
Eruption,12097
HyperSpirit,13012
Change The Game,13175
BASEMENT BOYS,13181
Pigeons,12721
HEROIC,7175
VP.Prodigy,10864
Bushido Wildcats,13281
Let Her Cook,12421
BORING PLAYERS,12948
KRÜ,10900
Last Bullet,13433
Oruga,13627
QWENTRY,13510
AaB,9621
FOLHA AMARELA,13475
FlyQuest RED,12301
Phantom,13173
Oxuji,13553
Dziuseppe,13465
LP,13304
Just Swing,13053
Betclic,12916
Rooster,9881
Washington,13483
MIBR,9215
MANA,13310
regain,12554
Procyon,10997
LAG,11955
aimclub,6810
Universe,13618
OverKnight,10901
Vasco,13413
Mythic,5479
SAW,10567
SportsBetExpert,13375
