matchid,date,score,sideid,mapid,teamid
2389453,2026-01-25,7.0,1,2,9996
2389453,2026-01-25,5.0,2,2,7176
2389453,2026-01-25,16.0,0,2,9996
2389453,2026-01-25,14.0,0,2,7176
2389453,2026-01-25,9.0,2,7,9996
2389453,2026-01-25,3.0,1,7,7176
2389453,2026-01-25,4.0,1,7,9996
2389453,2026-01-25,5.0,2,7,7176
2389453,2026-01-25,13.0,0,7,9996
2389453,2026-01-25,8.0,0,7,7176
