matchid,date,score,sideid,mapid,teamid
2389371,2026-01-25,3.0,0,0,12774
2389371,2026-01-25,0.0,0,0,10245
2389371,2026-01-25,7.0,1,3,12774
2389371,2026-01-25,5.0,2,3,10245
2389371,2026-01-25,5.0,2,3,12774
2389371,2026-01-25,7.0,1,3,10245
2389371,2026-01-25,16.0,0,3,12774
2389371,2026-01-25,13.0,0,3,10245
2389371,2026-01-25,11.0,1,1,12774
2389371,2026-01-25,1.0,2,1,10245
2389371,2026-01-25,2.0,2,1,12774
2389371,2026-01-25,3.0,1,1,10245
2389371,2026-01-25,13.0,0,1,12774
2389371,2026-01-25,4.0,0,1,10245
2389371,2026-01-25,7.0,1,4,12774
2389371,2026-01-25,5.0,2,4,10245
2389371,2026-01-25,6.0,2,4,12774
2389371,2026-01-25,2.0,1,4,10245
2389371,2026-01-25,13.0,0,4,12774
2389371,2026-01-25,7.0,0,4,10245
2389452,2026-01-25,2.0,0,0,9215
2389452,2026-01-25,1.0,0,0,7176
2389452,2026-01-25,8.0,1,7,9215
2389452,2026-01-25,4.0,2,7,7176
2389452,2026-01-25,3.0,2,7,9215
2389452,2026-01-25,9.0,1,7,7176
2389452,2026-01-25,11.0,0,7,9215
2389452,2026-01-25,13.0,0,7,7176
2389452,2026-01-25,4.0,2,3,9215
2389452,2026-01-25,8.0,1,3,7176
2389452,2026-01-25,8.0,1,3,9215
2389452,2026-01-25,4.0,2,3,7176
2389452,2026-01-25,19.0,0,3,9215
2389452,2026-01-25,16.0,0,3,7176
2389452,2026-01-25,7.0,1,6,9215
2389452,2026-01-25,5.0,2,6,7176
2389452,2026-01-25,6.0,2,6,9215
2389452,2026-01-25,0.0,1,6,7176
2389452,2026-01-25,13.0,0,6,9215
2389452,2026-01-25,5.0,0,6,7176
