,matchID,team1,score1,team2,score2,event,url
0,2389117,Nemesis,0.0,Nemiga,1.0,CCT Season 3 Europe Series 13,https://www.hltv.org/matches/2389117/nemesis-vs-nemiga-cct-season-3-europe-series-13
1,2388913,FUT,0.0,EYEBALLERS,2.0,IEM Rio 2026 Closed Qualifier,https://www.hltv.org/matches/2388913/fut-vs-eyeballers-iem-rio-2026-closed-qualifier
2,2389438,MIBR,1.0,9z,0.0,BetBoom Circuit X Redemption Curitiba 2026,https://www.hltv.org/matches/2389438/mibr-vs-9z-betboom-circuit-x-redemption-curitiba-2026
3,2388915,Gentle Mates,2.0,GenOne,0.0,IEM Rio 2026 Closed Qualifier,https://www.hltv.org/matches/2388915/gentle-mates-vs-genone-iem-rio-2026-closed-qualifier
4,2389436,Keyd Stars,0.0,9z,2.0,BetBoom Circuit X Redemption Curitiba 2026,https://www.hltv.org/matches/2389436/keyd-stars-vs-9z-betboom-circuit-x-redemption-curitiba-2026
5,2388912,BC.Game,1.0,Nemesis,2.0,IEM Rio 2026 Closed Qualifier,https://www.hltv.org/matches/2388912/bcgame-vs-nemesis-iem-rio-2026-closed-qualifier
6,2388932,Imperial,1.0,RED Canids,2.0,IEM Rio 2026 Americas Closed Qualifier,https://www.hltv.org/matches/2388932/imperial-vs-red-canids-iem-rio-2026-americas-closed-qualifier
7,2389433,Sharks,2.0,Galorys,0.0,BetBoom Circuit X Redemption Curitiba 2026,https://www.hltv.org/matches/2389433/sharks-vs-galorys-betboom-circuit-x-redemption-curitiba-2026
8,2388911,fnatic,1.0,GenOne,2.0,IEM Rio 2026 Closed Qualifier,https://www.hltv.org/matches/2388911/fnatic-vs-genone-iem-rio-2026-closed-qualifier
9,2388931,ODDIK,2.0,Fluxo,1.0,IEM Rio 2026 Americas Closed Qualifier,https://www.hltv.org/matches/2388931/oddik-vs-fluxo-iem-rio-2026-americas-closed-qualifier
10,2388930,9z,2.0,Sharks,0.0,IEM Rio 2026 Americas Closed Qualifier,https://www.hltv.org/matches/2388930/9z-vs-sharks-iem-rio-2026-americas-closed-qualifier
11,2388906,Gentle Mates,0.0,HOTU,2.0,IEM Rio 2026 Closed Qualifier,https://www.hltv.org/matches/2388906/gentle-mates-vs-hotu-iem-rio-2026-closed-qualifier
12,2388927,RED Canids,2.0,Sharks,0.0,IEM Rio 2026 Americas Closed Qualifier,https://www.hltv.org/matches/2388927/red-canids-vs-sharks-iem-rio-2026-americas-closed-qualifier
13,2389114,AM,0.0,illwill,2.0,CCT Season 3 Europe Series 13,https://www.hltv.org/matches/2389114/am-vs-illwill-cct-season-3-europe-series-13
14,2388908,Nuclear TigeRES,2.0,Sangal,1.0,IEM Rio 2026 Closed Qualifier,https://www.hltv.org/matches/2388908/nuclear-tigeres-vs-sangal-iem-rio-2026-closed-qualifier
15,2388903,EYEBALLERS,2.0,Nemesis,1.0,IEM Rio 2026 Closed Qualifier,https://www.hltv.org/matches/2388903/eyeballers-vs-nemesis-iem-rio-2026-closed-qualifier
16,2388928,BESTIA,2.0,ODDIK,0.0,IEM Rio 2026 Americas Closed Qualifier,https://www.hltv.org/matches/2388928/bestia-vs-oddik-iem-rio-2026-americas-closed-qualifier
17,2388901,BetBoom,2.0,GenOne,1.0,IEM Rio 2026 Closed Qualifier,https://www.hltv.org/matches/2388901/betboom-vs-genone-iem-rio-2026-closed-qualifier
18,2388926,Imperial,1.0,9z,0.0,IEM Rio 2026 Americas Closed Qualifier,https://www.hltv.org/matches/2388926/imperial-vs-9z-iem-rio-2026-americas-closed-qualifier
19,2388907,K27,0.0,FUT,2.0,IEM Rio 2026 Closed Qualifier,https://www.hltv.org/matches/2388907/k27-vs-fut-iem-rio-2026-closed-qualifier
20,2388898,9INE,2.0,K27,1.0,IEM Rio 2026 Closed Qualifier,https://www.hltv.org/matches/2388898/9ine-vs-k27-iem-rio-2026-closed-qualifier
21,2388899,HOTU,2.0,Sangal,1.0,IEM Rio 2026 Closed Qualifier,https://www.hltv.org/matches/2388899/hotu-vs-sangal-iem-rio-2026-closed-qualifier
22,2388900,Nuclear TigeRES,1.0,Gentle Mates,2.0,IEM Rio 2026 Closed Qualifier,https://www.hltv.org/matches/2388900/nuclear-tigeres-vs-gentle-mates-iem-rio-2026-closed-qualifier
23,2389111,Nemesis,0.0,ARCRED,2.0,CCT Season 3 Europe Series 13,https://www.hltv.org/matches/2389111/nemesis-vs-arcred-cct-season-3-europe-series-13
24,2389110,1win,2.0,GenOne,0.0,CCT Season 3 Europe Series 13,https://www.hltv.org/matches/2389110/1win-vs-genone-cct-season-3-europe-series-13
25,2389108,FAVBET,2.0,Phantom,0.0,CCT Season 3 Europe Series 13,https://www.hltv.org/matches/2389108/favbet-vs-phantom-cct-season-3-europe-series-13
28,2389278,PARIVISION,2.0,Spirit,1.0,BLAST Bounty 2026 Season 1 Finals,https://www.hltv.org/matches/2389278/parivision-vs-spirit-blast-bounty-2026-season-1-finals
29,2389277,GamerLegion,0.0,Vitality,2.0,BLAST Bounty 2026 Season 1 Finals,https://www.hltv.org/matches/2389277/gamerlegion-vs-vitality-blast-bounty-2026-season-1-finals
30,2389448,Gaimin Gladiators,2.0,Sharks,1.0,BetBoom Circuit X Redemption Curitiba 2026,https://www.hltv.org/matches/2389448/gaimin-gladiators-vs-sharks-betboom-circuit-x-redemption-curitiba-2026
31,2389196,GenOne,2.0,ARCRED,0.0,NODWIN Clutch Series 4,https://www.hltv.org/matches/2389196/genone-vs-arcred-nodwin-clutch-series-4
32,2389123,AM,2.0,Phantom,0.0,CCT Season 3 Europe Series 13,https://www.hltv.org/matches/2389123/am-vs-phantom-cct-season-3-europe-series-13
33,2389038,MOUZ NXT,0.0,magic,2.0,European Pro League Series 4,https://www.hltv.org/matches/2389038/mouz-nxt-vs-magic-european-pro-league-series-4
34,2389604,Johnny Speeds,0.0,BIG,2.0,United21 Esplay Challenge Season 1,https://www.hltv.org/matches/2389604/johnny-speeds-vs-big-united21-esplay-challenge-season-1
35,2389370,JiJieHao,2.0,Lynn Vision,1.0,ZHI-TECH Elite Masters 2026,https://www.hltv.org/matches/2389370/jijiehao-vs-lynn-vision-zhi-tech-elite-masters-2026
36,2389195,FAVBET,1.0,illwill,2.0,NODWIN Clutch Series 4,https://www.hltv.org/matches/2389195/favbet-vs-illwill-nodwin-clutch-series-4
37,2389369,Morningstar,0.0,FlyQuest,2.0,ZHI-TECH Elite Masters 2026,https://www.hltv.org/matches/2389369/morningstar-vs-flyquest-zhi-tech-elite-masters-2026
38,2388939,RED Canids,2.0,BESTIA,1.0,IEM Rio 2026 Americas Closed Qualifier,https://www.hltv.org/matches/2388939/red-canids-vs-bestia-iem-rio-2026-americas-closed-qualifier
39,2388925,BetBoom,1.0,Gentle Mates,2.0,IEM Rio 2026 Closed Qualifier,https://www.hltv.org/matches/2388925/betboom-vs-gentle-mates-iem-rio-2026-closed-qualifier
40,2389445,9z,2.0,Keyd Stars,0.0,BetBoom Circuit X Redemption Curitiba 2026,https://www.hltv.org/matches/2389445/9z-vs-keyd-stars-betboom-circuit-x-redemption-curitiba-2026
