matchID,map,side,date,team,score
2389281,All,total,2026-01-25,Falcons,0.0
2389281,All,total,2026-01-25,PARIVISION,3.0
2389281,mrg,t,2026-01-25,Falcons,4.0
2389281,mrg,ct,2026-01-25,PARIVISION,8
2389281,mrg,ct,2026-01-25,Falcons,5
2389281,mrg,t,2026-01-25,PARIVISION,5
2389281,mrg,total,2026-01-25,Falcons,9
2389281,mrg,total,2026-01-25,PARIVISION,13
2389281,d2,ct,2026-01-25,Falcons,4
2389281,d2,t,2026-01-25,PARIVISION,8
2389281,d2,t,2026-01-25,Falcons,7
2389281,d2,ct,2026-01-25,PARIVISION,5
2389281,d2,total,2026-01-25,Falcons,11
2389281,d2,total,2026-01-25,PARIVISION,13
2389281,inf,ct,2026-01-25,Falcons,6
2389281,inf,t,2026-01-25,PARIVISION,6
2389281,inf,t,2026-01-25,Falcons,5
2389281,inf,ct,2026-01-25,PARIVISION,7
2389281,inf,total,2026-01-25,Falcons,11
2389281,inf,total,2026-01-25,PARIVISION,13
2389203,All,total,2026-01-26,Nemiga,2.0
2389203,All,total,2026-01-26,illwill,0.0
2389203,anb,ct,2026-01-26,Nemiga,7.0
2389203,anb,t,2026-01-26,illwill,5
2389203,anb,t,2026-01-26,Nemiga,6
2389203,anb,ct,2026-01-26,illwill,0
2389203,anb,total,2026-01-26,Nemiga,13
2389203,anb,total,2026-01-26,illwill,5
2389203,nuke,ct,2026-01-26,Nemiga,10
2389203,nuke,t,2026-01-26,illwill,2
2389203,nuke,t,2026-01-26,Nemiga,3
2389203,nuke,ct,2026-01-26,illwill,8
2389203,nuke,total,2026-01-26,Nemiga,13
2389203,nuke,total,2026-01-26,illwill,10
2389454,All,total,2026-01-25,Gaimin Gladiators,0.0
2389454,All,total,2026-01-25,MIBR,3.0
2389454,anb,t,2026-01-25,Gaimin Gladiators,8.0
2389454,anb,ct,2026-01-25,MIBR,4
2389454,anb,ct,2026-01-25,Gaimin Gladiators,1
2389454,anb,t,2026-01-25,MIBR,9
2389454,anb,total,2026-01-25,Gaimin Gladiators,9
2389454,anb,total,2026-01-25,MIBR,13
2389454,anc,t,2026-01-25,Gaimin Gladiators,7
2389454,anc,ct,2026-01-25,MIBR,5
2389454,anc,ct,2026-01-25,Gaimin Gladiators,3
2389454,anc,t,2026-01-25,MIBR,8
2389454,anc,total,2026-01-25,Gaimin Gladiators,10
2389454,anc,total,2026-01-25,MIBR,13
2389454,inf,ct,2026-01-25,Gaimin Gladiators,3
2389454,inf,t,2026-01-25,MIBR,9
2389454,inf,t,2026-01-25,Gaimin Gladiators,6
2389454,inf,ct,2026-01-25,MIBR,4
2389454,inf,total,2026-01-25,Gaimin Gladiators,9
2389454,inf,total,2026-01-25,MIBR,13
2389528,All,total,2026-01-25,Fingers Crossed,2.0
2389528,All,total,2026-01-25,Metizport,1.0
2389528,nuke,t,2026-01-25,Fingers Crossed,7.0
2389528,nuke,ct,2026-01-25,Metizport,5
2389528,nuke,ct,2026-01-25,Fingers Crossed,6
2389528,nuke,t,2026-01-25,Metizport,3
2389528,nuke,total,2026-01-25,Fingers Crossed,13
2389528,nuke,total,2026-01-25,Metizport,8
2389528,inf,ct,2026-01-25,Fingers Crossed,5
2389528,inf,t,2026-01-25,Metizport,7
2389528,inf,t,2026-01-25,Fingers Crossed,6
2389528,inf,ct,2026-01-25,Metizport,6
2389528,inf,total,2026-01-25,Fingers Crossed,11
2389528,inf,total,2026-01-25,Metizport,13
2389528,anc,t,2026-01-25,Fingers Crossed,8
2389528,anc,ct,2026-01-25,Metizport,4
2389528,anc,ct,2026-01-25,Fingers Crossed,5
2389528,anc,t,2026-01-25,Metizport,3
2389528,anc,total,2026-01-25,Fingers Crossed,13
2389528,anc,total,2026-01-25,Metizport,7
2389128,All,total,2026-01-25,1win,0.0
2389128,All,total,2026-01-25,Nemiga,2.0
2389128,ovp,t,2026-01-25,1win,8.0
2389128,ovp,ct,2026-01-25,Nemiga,4
2389128,ovp,ct,2026-01-25,1win,3
2389128,ovp,t,2026-01-25,Nemiga,9
2389128,ovp,total,2026-01-25,1win,11
2389128,ovp,total,2026-01-25,Nemiga,13
2389128,anc,ct,2026-01-25,1win,4
2389128,anc,t,2026-01-25,Nemiga,8
2389128,anc,t,2026-01-25,1win,3
2389128,anc,ct,2026-01-25,Nemiga,5
2389128,anc,total,2026-01-25,1win,7
2389128,anc,total,2026-01-25,Nemiga,13
2389162,All,total,2026-01-25,Fingers Crossed,1.0
2389162,All,total,2026-01-25,GenOne,2.0
2389162,d2,ct,2026-01-25,Fingers Crossed,8.0
2389162,d2,t,2026-01-25,GenOne,4
2389162,d2,t,2026-01-25,Fingers Crossed,5
2389162,d2,ct,2026-01-25,GenOne,5
2389162,d2,total,2026-01-25,Fingers Crossed,13
2389162,d2,total,2026-01-25,GenOne,9
2389162,nuke,t,2026-01-25,Fingers Crossed,4
2389162,nuke,ct,2026-01-25,GenOne,8
2389162,nuke,ct,2026-01-25,Fingers Crossed,5
2389162,nuke,t,2026-01-25,GenOne,5
2389162,nuke,total,2026-01-25,Fingers Crossed,9
2389162,nuke,total,2026-01-25,GenOne,13
2389527,All,total,2026-01-25,FAVBET,0.0
2389527,All,total,2026-01-25,Leo,2.0
2389527,anb,ct,2026-01-25,FAVBET,4.0
2389527,anb,t,2026-01-25,Leo,8
2389527,anb,t,2026-01-25,FAVBET,3
2389527,anb,ct,2026-01-25,Leo,5
2389527,anb,total,2026-01-25,FAVBET,7
2389527,anb,total,2026-01-25,Leo,13
2389527,anc,ct,2026-01-25,FAVBET,6
2389527,anc,t,2026-01-25,Leo,6
2389527,anc,t,2026-01-25,FAVBET,4
2389527,anc,ct,2026-01-25,Leo,7
2389527,anc,total,2026-01-25,FAVBET,10
2389527,anc,total,2026-01-25,Leo,13
2389453,All,total,2026-01-25,9z,2.0
2389453,All,total,2026-01-25,RED Canids,1.0
2389453,nuke,ct,2026-01-25,9z,4.0
2389453,nuke,t,2026-01-25,RED Canids,8
2389453,nuke,t,2026-01-25,9z,1
2389453,nuke,ct,2026-01-25,RED Canids,5
2389453,nuke,total,2026-01-25,9z,5
2389453,nuke,total,2026-01-25,RED Canids,13
2389453,ovp,t,2026-01-25,9z,5
2389453,ovp,ct,2026-01-25,RED Canids,7
2389453,ovp,ct,2026-01-25,9z,7
2389453,ovp,t,2026-01-25,RED Canids,5
2389453,ovp,total,2026-01-25,9z,16
2389453,ovp,total,2026-01-25,RED Canids,14
2389453,inf,t,2026-01-25,9z,9
2389453,inf,ct,2026-01-25,RED Canids,3
2389453,inf,ct,2026-01-25,9z,4
2389453,inf,t,2026-01-25,RED Canids,5
2389453,inf,total,2026-01-25,9z,13
2389453,inf,total,2026-01-25,RED Canids,8
