k,d,ek,ed,roundswing,adr,eadr,kast,ekast,rating,playerid,matchid,sideid,mapid,teamid
36.0,27.0,37.0,30.0,3.51,77.4,75.7,77.8,69.8,1.31,22471,2389280,0,0,12467
31.0,19.0,31.0,22.0,1.77,71.2,69.1,86.7,80.7,1.21,13776,2389280,0,0,12467
38.0,24.0,36.0,26.0,-0.42,90.8,85.8,77.8,69.7,1.19,19235,2389280,0,0,12467
35.0,28.0,31.0,29.0,1.89,66.9,63.8,75.6,73.5,1.16,23685,2389280,0,0,12467
21.0,31.0,18.0,32.0,-2.99,65.8,60.8,73.3,71.5,0.8,22929,2389280,0,0,12467
21.0,9.0,22.0,11.0,9.3,84.1,82.1,90.5,76.8,1.7,22471,2389280,1,0,12467
25.0,10.0,20.0,11.0,8.68,95.6,84.7,90.5,81.6,1.69,23685,2389280,1,0,12467
15.0,10.0,14.0,11.0,2.85,91.7,85.3,85.7,70.2,1.22,19235,2389280,1,0,12467
13.0,8.0,13.0,10.0,-1.8,58.8,55.8,90.5,85.3,1.04,13776,2389280,1,0,12467
13.0,11.0,10.0,12.0,-4.28,83.7,70.5,81.0,74.9,0.83,22929,2389280,1,0,12467
18.0,11.0,18.0,12.0,4.9,82.0,80.8,83.3,76.6,1.35,13776,2389280,2,0,12467
23.0,14.0,21.0,14.0,-3.29,90.0,86.3,70.8,69.3,1.16,19235,2389280,2,0,12467
15.0,18.0,16.0,19.0,-1.55,71.5,70.1,66.7,63.8,0.97,22471,2389280,2,0,12467
8.0,20.0,8.0,20.0,-1.86,50.1,52.3,66.7,68.4,0.78,22929,2389280,2,0,12467
10.0,18.0,11.0,18.0,-4.04,41.9,45.6,62.5,66.4,0.69,23685,2389280,2,0,12467
33.0,33.0,35.0,32.0,1.82,90.6,93.8,64.4,61.8,1.18,13915,2389280,0,0,8297
25.0,28.0,26.0,27.0,2.79,56.8,59.1,68.9,70.3,1.03,15631,2389280,0,0,8297
20.0,33.0,21.0,31.0,-2.52,62.3,65.9,66.7,60.5,0.81,12553,2389280,0,0,8297
20.0,35.0,24.0,34.0,-2.11,53.9,62.5,60.0,66.1,0.8,2023,2389280,0,0,8297
27.0,33.0,26.0,34.0,-3.74,56.5,56.5,64.4,65.2,0.76,24144,2389280,0,0,8297
19.0,13.0,19.0,14.0,5.61,71.0,71.1,79.2,78.4,1.3,15631,2389280,1,0,8297
16.0,15.0,16.0,15.0,2.49,92.3,90.3,70.8,67.6,1.14,13915,2389280,1,0,8297
14.0,17.0,15.0,17.0,2.14,78.7,82.5,79.2,79.3,1.11,12553,2389280,1,0,8297
12.0,16.0,13.0,18.0,-0.42,69.4,77.2,75.0,74.2,0.93,2023,2389280,1,0,8297
18.0,14.0,17.0,16.0,-3.97,60.5,57.5,70.8,69.6,0.84,24144,2389280,1,0,8297
17.0,18.0,19.0,16.0,1.06,88.6,97.8,57.1,55.1,1.21,13915,2389280,2,0,8297
