matchid,date,score,sideid,mapid,teamid
2389280,2026-01-24,2.0,0,0,12467
2389280,2026-01-24,0.0,0,0,8297
2389280,2026-01-24,6.0,2,6,12467
2389280,2026-01-24,6.0,1,6,8297
2389280,2026-01-24,7.0,1,6,12467
2389280,2026-01-24,2.0,2,6,8297
2389280,2026-01-24,13.0,0,6,12467
2389280,2026-01-24,8.0,0,6,8297
2389280,2026-01-24,5.0,2,7,12467
2389280,2026-01-24,7.0,1,7,8297
2389280,2026-01-24,8.0,1,7,12467
2389280,2026-01-24,4.0,2,7,8297
2389280,2026-01-24,13.0,0,7,12467
2389280,2026-01-24,11.0,0,7,8297
2389125,2026-01-24,2.0,0,0,13355
2389125,2026-01-24,0.0,0,0,11609
2389125,2026-01-24,6.0,1,4,13355
2389125,2026-01-24,6.0,2,4,11609
2389125,2026-01-24,6.0,2,4,13355
2389125,2026-01-24,6.0,1,4,11609
2389125,2026-01-24,16.0,0,4,13355
2389125,2026-01-24,13.0,0,4,11609
2389125,2026-01-24,7.0,2,3,13355
2389125,2026-01-24,5.0,1,3,11609
2389125,2026-01-24,6.0,1,3,13355
2389125,2026-01-24,0.0,2,3,11609
2389125,2026-01-24,13.0,0,3,13355
2389125,2026-01-24,5.0,0,3,11609
2389608,2026-01-24,2.0,0,0,7532
2389608,2026-01-24,0.0,0,0,12474
2389608,2026-01-24,8.0,2,4,7532
2389608,2026-01-24,4.0,1,4,12474
2389608,2026-01-24,5.0,1,4,7532
2389608,2026-01-24,2.0,2,4,12474
2389608,2026-01-24,13.0,0,4,7532
2389608,2026-01-24,6.0,0,4,12474
2389608,2026-01-24,7.0,1,3,7532
2389608,2026-01-24,5.0,2,3,12474
2389608,2026-01-24,6.0,2,3,7532
2389608,2026-01-24,6.0,1,3,12474
2389608,2026-01-24,13.0,0,3,7532
2389608,2026-01-24,11.0,0,3,12474
