matchID,team1,score1,team2,score2,event,url
2388917,HOTU,2.0,9INE,0.0,IEM Rio 2026 Closed Qualifier,https://www.hltv.org/matches/2388917/hotu-vs-9ine-iem-rio-2026-closed-qualifier
2389275,Liquid,0.0,Falcons,2.0,BLAST Bounty 2026 Season 1 Finals,https://www.hltv.org/matches/2389275/liquid-vs-falcons-blast-bounty-2026-season-1-finals
2389117,Nemesis,0.0,Nemiga,1.0,CCT Season 3 Europe Series 13,https://www.hltv.org/matches/2389117/nemesis-vs-nemiga-cct-season-3-europe-series-13
2389438,MIBR,1.0,9z,0.0,BetBoom Circuit X Redemption Curitiba 2026,https://www.hltv.org/matches/2389438/mibr-vs-9z-betboom-circuit-x-redemption-curitiba-2026
2388930,9z,2.0,Sharks,0.0,IEM Rio 2026 Americas Closed Qualifier,https://www.hltv.org/matches/2388930/9z-vs-sharks-iem-rio-2026-americas-closed-qualifier
2388906,Gentle Mates,0.0,HOTU,2.0,IEM Rio 2026 Closed Qualifier,https://www.hltv.org/matches/2388906/gentle-mates-vs-hotu-iem-rio-2026-closed-qualifier
2388927,RED Canids,2.0,Sharks,0.0,IEM Rio 2026 Americas Closed Qualifier,https://www.hltv.org/matches/2388927/red-canids-vs-sharks-iem-rio-2026-americas-closed-qualifier
2389114,AM,0.0,illwill,2.0,CCT Season 3 Europe Series 13,https://www.hltv.org/matches/2389114/am-vs-illwill-cct-season-3-europe-series-13
2388908,Nuclear TigeRES,2.0,Sangal,1.0,IEM Rio 2026 Closed Qualifier,https://www.hltv.org/matches/2388908/nuclear-tigeres-vs-sangal-iem-rio-2026-closed-qualifier
2388903,EYEBALLERS,2.0,Nemesis,1.0,IEM Rio 2026 Closed Qualifier,https://www.hltv.org/matches/2388903/eyeballers-vs-nemesis-iem-rio-2026-closed-qualifier
2388928,BESTIA,2.0,ODDIK,0.0,IEM Rio 2026 Americas Closed Qualifier,https://www.hltv.org/matches/2388928/bestia-vs-oddik-iem-rio-2026-americas-closed-qualifier
2388901,BetBoom,2.0,GenOne,1.0,IEM Rio 2026 Closed Qualifier,https://www.hltv.org/matches/2388901/betboom-vs-genone-iem-rio-2026-closed-qualifier
2388926,Imperial,1.0,9z,0.0,IEM Rio 2026 Americas Closed Qualifier,https://www.hltv.org/matches/2388926/imperial-vs-9z-iem-rio-2026-americas-closed-qualifier
2388907,K27,0.0,FUT,2.0,IEM Rio 2026 Closed Qualifier,https://www.hltv.org/matches/2388907/k27-vs-fut-iem-rio-2026-closed-qualifier
2388898,9INE,2.0,K27,1.0,IEM Rio 2026 Closed Qualifier,https://www.hltv.org/matches/2388898/9ine-vs-k27-iem-rio-2026-closed-qualifier
2388899,HOTU,2.0,Sangal,1.0,IEM Rio 2026 Closed Qualifier,https://www.hltv.org/matches/2388899/hotu-vs-sangal-iem-rio-2026-closed-qualifier
