match_id,team1,score1,team2,score2,event,link
2387837,BetBoom,2,Oramond,0,CCT Season 3 Europe Series 11,https://www.hltv.org/matches/2387837/betboom-vs-oramond-cct-season-3-europe-series-11
2388207,ENCE,2,Nexus,0,Digital Crusade DraculaN Season 3,https://www.hltv.org/matches/2388207/ence-vs-nexus-digital-crusade-draculan-season-3
2387939,Sashi,2,Impulse GW,1,OMEN Retake Season 11 Finals,https://www.hltv.org/matches/2387939/sashi-vs-impulse-gw-omen-retake-season-11-finals
2388262,Alliance,1,1win,2,JB Pro League Season 1,https://www.hltv.org/matches/2388262/alliance-vs-1win-jb-pro-league-season-1
2388353,33,2,K27,0,GLuck Yungstar 2025,https://www.hltv.org/matches/2388353/33-vs-k27-gluck-yungstar-2025
2388356,Fire Flux,2,Mousquetaires,0,NODWIN Clutch Series 3 Closed Qualifier,https://www.hltv.org/matches/2388356/fire-flux-vs-mousquetaires-nodwin-clutch-series-3-closed-qualifier
2387467,Sangal,0,AaB,2,Galaxy Battle 2025 Phase 5,https://www.hltv.org/matches/2387467/sangal-vs-aab-galaxy-battle-2025-phase-5
2387836,SAW,0,EYEBALLERS,2,CCT Season 3 Europe Series 11,https://www.hltv.org/matches/2387836/saw-vs-eyeballers-cct-season-3-europe-series-11
2388282,Oramond,2,kONO,0,European Pro League Series 3,https://www.hltv.org/matches/2388282/oramond-vs-kono-european-pro-league-series-3
2388206,FUT,2,Inner Circle,1,Digital Crusade DraculaN Season 3,https://www.hltv.org/matches/2388206/fut-vs-inner-circle-digital-crusade-draculan-season-3
2388203,Passion UA,2,Nexus,1,Digital Crusade DraculaN Season 3,https://www.hltv.org/matches/2388203/passion-ua-vs-nexus-digital-crusade-draculan-season-3
2388352,Sangal,1,GUN5,2,GLuck Yungstar 2025,https://www.hltv.org/matches/2388352/sangal-vs-gun5-gluck-yungstar-2025
2388205,illwill,0,ENCE,2,Digital Crusade DraculaN Season 3,https://www.hltv.org/matches/2388205/illwill-vs-ence-digital-crusade-draculan-season-3
2388204,Tricked,0,ECSTATIC,2,Digital Crusade DraculaN Season 3,https://www.hltv.org/matches/2388204/tricked-vs-ecstatic-digital-crusade-draculan-season-3
2388261,Nemiga,1,Oramond,2,JB Pro League Season 1,https://www.hltv.org/matches/2388261/nemiga-vs-oramond-jb-pro-league-season-1
2387835,Leo,2,K27,0,CCT Season 3 Europe Series 11,https://www.hltv.org/matches/2387835/leo-vs-k27-cct-season-3-europe-series-11
2388349,Endless Journey,1,GUN5,2,GLuck Yungstar 2025,https://www.hltv.org/matches/2388349/endless-journey-vs-gun5-gluck-yungstar-2025
2387468,Nexus,0,ARCRED,1,Galaxy Battle 2025 Phase 5,https://www.hltv.org/matches/2387468/nexus-vs-arcred-galaxy-battle-2025-phase-5
2388350,DRGN,1,K27,2,GLuck Yungstar 2025,https://www.hltv.org/matches/2388350/drgn-vs-k27-gluck-yungstar-2025
2388348,Sangal,2,BAKS,0,GLuck Yungstar 2025,https://www.hltv.org/matches/2388348/sangal-vs-baks-gluck-yungstar-2025
2388202,Inner Circle,2,GenOne,0,Digital Crusade DraculaN Season 3,https://www.hltv.org/matches/2388202/inner-circle-vs-genone-digital-crusade-draculan-season-3
2388351,Oxuji,0,33,2,GLuck Yungstar 2025,https://www.hltv.org/matches/2388351/oxuji-vs-33-gluck-yungstar-2025
2388255,Venom,1,1win,2,JB Pro League Season 1,https://www.hltv.org/matches/2388255/venom-vs-1win-jb-pro-league-season-1
2387834,HEROIC,2,500,0,CCT Season 3 Europe Series 11,https://www.hltv.org/matches/2387834/heroic-vs-500-cct-season-3-europe-series-11
2388201,FUT,2,Friendly Campers,0,Digital Crusade DraculaN Season 3,https://www.hltv.org/matches/2388201/fut-vs-friendly-campers-digital-crusade-draculan-season-3
2388200,ENCE,2,AM,0,Digital Crusade DraculaN Season 3,https://www.hltv.org/matches/2388200/ence-vs-am-digital-crusade-draculan-season-3
2387466,ECLOT,0,CYBERSHOKE,2,Galaxy Battle 2025 Phase 5,https://www.hltv.org/matches/2387466/eclot-vs-cybershoke-galaxy-battle-2025-phase-5
2388199,Acend,1,illwill,2,Digital Crusade DraculaN Season 3,https://www.hltv.org/matches/2388199/acend-vs-illwill-digital-crusade-draculan-season-3
2388196,Nexus,2,Friendly Campers,1,Digital Crusade DraculaN Season 3,https://www.hltv.org/matches/2388196/nexus-vs-friendly-campers-digital-crusade-draculan-season-3
2388195,Passion UA,2,GenOne,0,Digital Crusade DraculaN Season 3,https://www.hltv.org/matches/2388195/passion-ua-vs-genone-digital-crusade-draculan-season-3
2388197,ECSTATIC,2,AM,0,Digital Crusade DraculaN Season 3,https://www.hltv.org/matches/2388197/ecstatic-vs-am-digital-crusade-draculan-season-3
2387833,BIG,0,Leo,2,CCT Season 3 Europe Series 11,https://www.hltv.org/matches/2387833/big-vs-leo-cct-season-3-europe-series-11
2387465,500,0,FORZE Reload,2,Galaxy Battle 2025 Phase 5,https://www.hltv.org/matches/2387465/500-vs-forze-reload-galaxy-battle-2025-phase-5
2388259,FAVBET,2,Eternal Fire,0,JB Pro League Season 1,https://www.hltv.org/matches/2388259/favbet-vs-eternal-fire-jb-pro-league-season-1
2388198,Tricked,2,illwill,0,Digital Crusade DraculaN Season 3,https://www.hltv.org/matches/2388198/tricked-vs-illwill-digital-crusade-draculan-season-3
2388318,Fire Flux,1,Leo,2,NODWIN Clutch Series 3 Closed Qualifier,https://www.hltv.org/matches/2388318/fire-flux-vs-leo-nodwin-clutch-series-3-closed-qualifier
2388191,Acend,2,BASEMENT BOYS,1,Digital Crusade DraculaN Season 3,https://www.hltv.org/matches/2388191/acend-vs-basement-boys-digital-crusade-draculan-season-3
2388192,ENCE,2,WOPA,1,Digital Crusade DraculaN Season 3,https://www.hltv.org/matches/2388192/ence-vs-wopa-digital-crusade-draculan-season-3
2388258,Alliance,2,ARCRED,0,JB Pro League Season 1,https://www.hltv.org/matches/2388258/alliance-vs-arcred-jb-pro-league-season-1
2388193,UNiTY,1,FUT,2,Digital Crusade DraculaN Season 3,https://www.hltv.org/matches/2388193/unity-vs-fut-digital-crusade-draculan-season-3
2388280,MOUZ NXT,2,HyperSpirit,0,European Pro League Series 3 Closed Qualifier,https://www.hltv.org/matches/2388280/mouz-nxt-vs-hyperspirit-european-pro-league-series-3-closed-qualifier
2388257,Nemiga,2,NOVAQ,1,JB Pro League Season 1,https://www.hltv.org/matches/2388257/nemiga-vs-novaq-jb-pro-league-season-1
2387831,EYEBALLERS,2,CYBERSHOKE,1,CCT Season 3 Europe Series 11,https://www.hltv.org/matches/2387831/eyeballers-vs-cybershoke-cct-season-3-europe-series-11
2388194,Betclic,0,Inner Circle,1,Digital Crusade DraculaN Season 3,https://www.hltv.org/matches/2388194/betclic-vs-inner-circle-digital-crusade-draculan-season-3
2388188,FUT,7,AM,13,Digital Crusade DraculaN Season 3,https://www.hltv.org/matches/2388188/fut-vs-am-digital-crusade-draculan-season-3
2388190,Inner Circle,9,illwill,13,Digital Crusade DraculaN Season 3,https://www.hltv.org/matches/2388190/inner-circle-vs-illwill-digital-crusade-draculan-season-3
2388187,ECSTATIC,13,UNiTY,3,Digital Crusade DraculaN Season 3,https://www.hltv.org/matches/2388187/ecstatic-vs-unity-digital-crusade-draculan-season-3
2388186,Friendly Campers,16,WOPA,13,Digital Crusade DraculaN Season 3,https://www.hltv.org/matches/2388186/friendly-campers-vs-wopa-digital-crusade-draculan-season-3
2388184,BASEMENT BOYS,8,GenOne,13,Digital Crusade DraculaN Season 3,https://www.hltv.org/matches/2388184/basement-boys-vs-genone-digital-crusade-draculan-season-3
2388183,Passion UA,13,Acend,6,Digital Crusade DraculaN Season 3,https://www.hltv.org/matches/2388183/passion-ua-vs-acend-digital-crusade-draculan-season-3
2388185,ENCE,9,Nexus,13,Digital Crusade DraculaN Season 3,https://www.hltv.org/matches/2388185/ence-vs-nexus-digital-crusade-draculan-season-3
2388224,Rave,0,NRG,3,ESL Challenger League Season 50 North America Finals,https://www.hltv.org/matches/2388224/rave-vs-nrg-esl-challenger-league-season-50-north-america-finals
2388222,9z,2,Gaimin Gladiators,3,ESL Challenger League Season 50 South America Finals,https://www.hltv.org/matches/2388222/9z-vs-gaimin-gladiators-esl-challenger-league-season-50-south-america-finals
2387832,SAW,1,CPH Wolves,0,CCT Season 3 Europe Series 11,https://www.hltv.org/matches/2387832/saw-vs-cph-wolves-cct-season-3-europe-series-11
2387830,BetBoom,2,JiJieHao,1,CCT Season 3 Europe Series 11,https://www.hltv.org/matches/2387830/betboom-vs-jijiehao-cct-season-3-europe-series-11
2388219,PARIVISION,3,SINNERS,0,ESL Challenger League Season 50 Europe Finals,https://www.hltv.org/matches/2388219/parivision-vs-sinners-esl-challenger-league-season-50-europe-finals
2388216,Rare Atom,2,Lynn Vision,3,ESL Challenger League Season 50 Asia-Pacific Finals,https://www.hltv.org/matches/2388216/rare-atom-vs-lynn-vision-esl-challenger-league-season-50-asia-pacific-finals
2388254,BC.Game,2,FORZE Reload,0,JB Pro League Season 1,https://www.hltv.org/matches/2388254/bcgame-vs-forze-reload-jb-pro-league-season-1
2388182,AM,2,ASTRAL,0,Digital Crusade DraculaN Season 3,https://www.hltv.org/matches/2388182/am-vs-astral-digital-crusade-draculan-season-3
2388179,MINLATE,0,illwill,2,Digital Crusade DraculaN Season 3,https://www.hltv.org/matches/2388179/minlate-vs-illwill-digital-crusade-draculan-season-3
2388181,Haemus,1,Acend,2,Digital Crusade DraculaN Season 3,https://www.hltv.org/matches/2388181/haemus-vs-acend-digital-crusade-draculan-season-3
2388256,500,2,CPH Wolves,1,JB Pro League Season 1,https://www.hltv.org/matches/2388256/500-vs-cph-wolves-jb-pro-league-season-1
2388278,Leo,1,HAVU,2,European Pro League Series 3 Closed Qualifier,https://www.hltv.org/matches/2388278/leo-vs-havu-european-pro-league-series-3-closed-qualifier
2387829,Zero Tenacity,1,Nuclear TigeRES,2,CCT Season 3 Europe Series 11,https://www.hltv.org/matches/2387829/zero-tenacity-vs-nuclear-tigeres-cct-season-3-europe-series-11
2388178,ASTRAL,2,Lazer Cats,1,Digital Crusade DraculaN Season 3,https://www.hltv.org/matches/2388178/astral-vs-lazer-cats-digital-crusade-draculan-season-3
2388238,MOUZ NXT,2,HyperSpirit,0,CCT Season 3 Contenders Europe Series 2,https://www.hltv.org/matches/2388238/mouz-nxt-vs-hyperspirit-cct-season-3-contenders-europe-series-2
2388175,Strael Bora,0,illwill,2,Digital Crusade DraculaN Season 3,https://www.hltv.org/matches/2388175/strael-bora-vs-illwill-digital-crusade-draculan-season-3
2388158,Fire Flux,1,The Glecs,0,NODWIN Clutch Series 3 Closed Qualifier,https://www.hltv.org/matches/2388158/fire-flux-vs-the-glecs-nodwin-clutch-series-3-closed-qualifier
2388260,CYBERSHOKE,1,Oramond,2,JB Pro League Season 1,https://www.hltv.org/matches/2388260/cybershoke-vs-oramond-jb-pro-league-season-1
2387828,BC.Game,1,K27,2,CCT Season 3 Europe Series 11,https://www.hltv.org/matches/2387828/bcgame-vs-k27-cct-season-3-europe-series-11
2387460,Betclic,0,JiJieHao,1,Galaxy Battle 2025 Phase 5,https://www.hltv.org/matches/2387460/betclic-vs-jijiehao-galaxy-battle-2025-phase-5
2388174,Tricked,19,AM,17,Digital Crusade DraculaN Season 3,https://www.hltv.org/matches/2388174/tricked-vs-am-digital-crusade-draculan-season-3
2388171,GenOne,13,MINLATE,4,Digital Crusade DraculaN Season 3,https://www.hltv.org/matches/2388171/genone-vs-minlate-digital-crusade-draculan-season-3
2388177,Phantom,0,Acend,1,Digital Crusade DraculaN Season 3,https://www.hltv.org/matches/2388177/phantom-vs-acend-digital-crusade-draculan-season-3
2388169,UNiTY,16,Acend,13,Digital Crusade DraculaN Season 3,https://www.hltv.org/matches/2388169/unity-vs-acend-digital-crusade-draculan-season-3
2388170,AM,13,Lazer Cats,8,Digital Crusade DraculaN Season 3,https://www.hltv.org/matches/2388170/am-vs-lazer-cats-digital-crusade-draculan-season-3
2388167,MINLATE,13,illwill,5,Digital Crusade DraculaN Season 3,https://www.hltv.org/matches/2388167/minlate-vs-illwill-digital-crusade-draculan-season-3
