team_name,points,team_id
FURIA,1989,8297
Vitality,1988,9565
Falcons,1878,11283
Spirit,1824,7020
Natus Vincere,1823,4608
MOUZ,1819,4494
FaZe,1793,6667
The MongolZ,1784,6248
B8,1721,11241
Aurora,1709,11861
Liquid,1649,5973
Legacy,1648,12468
G2,1637,5995
PARIVISION,1591,12467
3DMAX,1586,4914
Astralis,1581,6665
FUT,1578,13286
Ninjas in Pyjamas,1563,4411
paiN,1559,4773
HEROIC,1557,7175
SAW,1555,10567
Passion UA,1547,12426
GamerLegion,1547,9928
NRG,1546,6673
M80,1526,12376
Gentle Mates,1502,13404
HOTU,1486,11581
BetBoom,1486,12394
Imperial,1481,9455
fnatic,1448,4991
EYEBALLERS,1433,11737
Sharks,1401,8113
9INE,1388,10278
K27,1384,12895
MIBR,1363,9215
Monte,1362,11811
FlyQuest,1353,12774
ECSTATIC,1338,11419
Friendly Campers,1312,13547
BESTIA,1311,12144
Alliance,1310,12474
CYBERSHOKE,1309,12380
SINNERS,1309,10577
Inner Circle,1308,13117
Fluxo,1303,11837
ENCE,1297,4869
BIG,1268,7532
Oramond,1262,13470
Lynn Vision,1255,8840
OG,1234,10503
Sashi,1222,11712
Nemesis,1220,13355
Tricked,1219,4602
Marsborne,1213,13124
magic,1201,13592
Rare Atom,1200,11514
MOUZ NXT,1195,11176
Johnny Speeds,1189,12604
Nuclear TigeRES,1188,13027
Virtus.pro,1185,5378
Sangal,1177,10333
KOLESIE,1174,13314
9z,1164,9996
AM,1163,13237
BIG,1152,7532
Voca,1137,13499
500,1125,12000
GenOne,1123,11609
TYLOO,1119,4863
The Huns,1117,12510
Phantom,1117,13173
MIBR fe,1096,10975
BIG EQUIPA,1089,11718
Fingers Crossed,1088,13466
Morningstar,1085,13602
33,1084,13297
Fire Flux,1072,12960
Metizport,1069,11641
1win,1068,10621
FAVBET,1062,12818
ex-RUBY,1060,13617
illwill,1056,13501
SPARTA,1047,13214
Nemiga,1045,7969
RED Canids,1044,7176
ASTRAL,1043,13333
Rave,1037,13414
Nemesis,1015,13355
ARCRED,1007,10459
AaB,1000,9621
Acend,999,13518
FORZE Reload,997,12857
STATE,997,13623
BC.Game,988,12878
Wildcard,983,12257
JiJieHao,979,10245
MINLATE,979,6626
Rebels,971,12642
Leo,967,11446
FengDa,962,12899
OlyBet,957,13551
ODDIK,956,11768
Lazer Cats,952,12087
megoshort,946,11018
UNiTY,941,12267
Gaimin Gladiators,940,11571
Chinggis Warriors,938,12646
Betclic,937,12916
ex-Zero Tenacity,936,13573
Spirit Academy,934,7900
Gaimin Gladiators,931,11571
los kogutos,928,10854
ShindeN,928,12959
ALGO,926,13163
BOSS,924,12534
Nexus,924,7187
kONO,918,12858
Omega,912,13479
CPH Wolves,910,4548
Bounty Hunters,908,12776
Galorys,907,12677
DEPO,906,12536
NOVAQ,905,13178
SemperFi,902,12901
WW,902,12967
Atrix,898,12533
Partizan,897,11838
Partizan,893,11838
Fake do Biru,890,13081
HEROIC Academy,889,13233
Keyd Stars,886,6033
WHITEBIRD,882,13583
HAVU,879,7865
Mindfreak,877,11668
Famalicão,876,13364
Bebop,874,13613
MASONIC,870,10867
Dusty Roots,869,12548
NIP Impact,867,11917
Prestige,866,13159
Eternal Fire,865,11251
THUNDER dOWNUNDER,864,13486
FURIA fe,863,10976
Keyd Stars,858,6033
ALLINNERS,852,12812
Impulse GW,849,13266
AMKAL,848,12586
Mousquetaires,848,13251
BASEMENT BOYS,848,13181
Rooster,844,9881
