team_name,points,team_id
9BOOMPRO,834,13380
Sakura,832,13531
ENCE Academy,830,11790
Yawara,826,11933
Pigeons,820,12721
VP.Prodigy,819,10864
HEROIC,816,7175
Ground Zero,813,8536
CSDIILIT,809,13340
Change The Game,808,13175
Eternal Fire,804,11251
Bushido Wildcats,801,13281
HyperSpirit,797,13012
BORING PLAYERS,795,12948
Let Her Cook,786,12421
Ursa,779,13231
Last Bullet,778,13433
Eruption,775,12097
Betclic,774,12916
AaB,770,9621
Phantom,770,13173
Dziuseppe,764,13465
KRÜ,762,10900
QWENTRY,761,13510
FlyQuest RED,761,12301
Oxuji,760,13553
Just Swing,757,13053
Procyon,756,10997
Rooster,753,9881
BRUTE,752,9139
regain,750,12554
MIBR,746,9215
LAG,744,11955
aimclub,740,6810
Universe,740,13618
OverKnight,732,10901
FOLHA AMARELA,730,13475
Mythic,726,5479
SAW,725,10567
Washington,721,13483
Partizan,720,11838
SportsBetExpert,718,13375
MANA,717,13310
Underground,713,12707
The QUBE,706,12825
Phoenix,700,12909
ComeBack,695,13506
Zomblers,694,12164
KHAN,692,11175
NomadS,691,12900
Players,691,11711
Fingers Crossed fe,690,13516
Flame Sharks fe,689,13406
Nemesis Impact,687,13405
InControl,685,7720
EC BANGA,680,12568
ALLINNERS,676,12812
8Sins,673,13024
Peekaboo,671,13393
Four Magic fe,670,13451
BIG,665,7532
m1x,663,7376
thekillaz fe,663,12912
Akimbo,662,12567
Legion,660,10287
Young Ninjas,660,10960
888aura,656,13383
GATERON,654,13102
LP,654,13304
LITE,652,13542
FACEITPLAYERS,651,13441
Getting Info,651,13106
Curralzinho,646,13417
Aether,641,12908
Black Mold,640,13143
Ghost,634,7801
LAG,630,11955
hindsight,629,13395
Nocturnal,629,13398
ScarX,628,13217
wwaves,625,13381
AKA HERO KAJO,622,13142
Money Crew,617,13469
Dusty Roses,616,13412
Underground,616,12707
Lotus fe,613,12702
G2 Ares,611,12889
IHC,610,11585
Vantage,610,12455
Tricked,607,4602
Outfit 49,605,13294
Lilmix,605,9735
777,605,10943
japczany,592,13614
CALAOSCORNOS,589,13556
TSG,588,13328
Fuego,585,13511
GameHunters,579,12988
F5,577,13201
Take Flyte,572,11660
Vasco,568,13413
VRSoholics,567,13485
Straight2Killin,567,13180
Crashers,566,6788
Pulse,565,13559
SINQU,563,13571
Reign Above,562,13425
THE,562,12955
FUT Academy,556,13474
Four Magic,556,13520
Prison Breakers,555,13512
The Glecs,548,13369
Passion UA,547,12426
ex-HEROIC Academy,547,13431
Haemus,547,13545
INFINITE,540,10823
Fingers Crossed,535,13466
BBBMBCBS,535,11109
HubaBuba,535,13453
Betclic,534,12916
GameHunters,533,12988
The Glecs,532,13369
R2,529,13327
FURY,528,10299
Wildcard Academy,526,13127
NuTorious,525,12973
Wanted Goons,525,12971
Aether,520,12908
Square Sausages,520,13434
SENZA,519,13352
amateurs,515,13515
KZG,513,12152
CAPIVARAS,511,12463
IHC,506,11585
Animus Victoria,506,13316
Little Bocks,505,11497
Bad Luck,505,13342
Chinggis Warriors,504,12646
Players,502,11711
ex-TALON,497,13212
Arise,496,13502
paiN Academy,496,11905
Timewaves,494,13543
NYX,488,13397
ECLOT,487,7441
Keyd Stars,486,6033
Arrival Seven,483,13353
anything else,480,13206
MIBR Academy,476,3044
EXSAD,460,13047
Falcons Force,457,13321
Memeories,433,13534
GLORE,408,11988
ex-Inner Circle,408,13459
Bad Luck,400,13342
MAGICOS,398,13265
MIGHT,396,12483
MAGICOS,389,13265
ELITES,339,13624
