name,points,teamID
Vitality,1972,9565
FURIA,1967,8297
Falcons,1946,11283
Spirit,1803,7020
Natus Vincere,1799,4608
MOUZ,1792,4494
FaZe,1767,6667
The MongolZ,1753,6248
PARIVISION,1721,12467
B8,1698,11241
Aurora,1695,11861
Liquid,1663,5973
Legacy,1646,12468
G2,1592,5995
GamerLegion,1590,9928
Astralis,1571,6665
HEROIC,1569,7175
3DMAX,1566,4914
paiN,1553,4773
Ninjas in Pyjamas,1547,4411
NRG,1544,6673
Passion UA,1533,12426
FUT,1528,13286
M80,1523,12376
Gentle Mates,1520,13404
HOTU,1508,11581
BC.Game,1487,12878
BetBoom,1461,12394
Imperial,1426,9455
FlyQuest,1425,12774
EYEBALLERS,1423,11737
MIBR,1421,9215
fnatic,1388,4991
9INE,1387,10278
BIG,1384,7532
Monte,1361,11811
K27,1350,12895
Sharks,1349,8113
Inner Circle,1339,13117
Alliance,1333,12474
ECSTATIC,1324,11419
Friendly Campers,1306,13547
CYBERSHOKE,1300,12380
SINNERS,1296,10577
ENCE,1286,4869
BESTIA,1285,12144
Lynn Vision,1259,8840
Tricked,1235,4602
BIG,1235,7532
Nuclear TigeRES,1228,13027
RED Canids,1222,7176
Sashi,1221,11712
magic,1218,13592
Nemesis,1214,13355
Oramond,1208,13470
Johnny Speeds,1204,12604
Fluxo,1204,11837
OG,1201,10503
Gaimin Gladiators,1198,11571
Marsborne,1197,13124
KOLESIE,1176,13314
Rare Atom,1175,11514
Sangal,1162,10333
Virtus.pro,1162,5378
AM,1157,13237
9z,1155,9996
MOUZ NXT,1150,11176
GenOne,1130,11609
illwill,1129,13501
Morningstar,1124,13602
Voca,1123,13499
500,1114,12000
BET-M,1107,13619
TYLOO,1104,4863
1win,1102,10621
Nemiga,1092,7969
Metizport,1087,11641
The Huns,1086,12510
MIBR fe,1084,10975
BIG EQUIPA,1077,11718
HAVU,1075,7865
ARCRED,1075,10459
Fingers Crossed,1074,13466
Betclic,1073,12916
JiJieHao,1066,10245
FAVBET,1064,12818
Phantom,1056,13173
ex-RUBY,1052,13617
SPARTA,1049,13214
Fire Flux,1049,12960
ASTRAL,1038,13333
Rave,1016,13414
Nemesis,1004,13355
MINLATE,1003,6626
STATE,998,13623
ODDIK,995,11768
Fake do Biru,987,13081
SemperFi,983,12901
AaB,973,9621
FORZE Reload,973,12857
Leo,973,11446
ShindeN,970,12959
9z,964,9996
Acend,964,13518
OlyBet,962,13551
megoshort,962,11018
Rebels,958,12642
Wildcard,954,12257
UNiTY,950,12267
ALGO,943,13163
Yawara,943,11933
Ursa,942,13231
Gaimin Gladiators,940,11571
Lazer Cats,940,12087
BC.Game,937,12878
FengDa,936,12899
los kogutos,931,10854
Chinggis Warriors,927,12646
Nexus,927,7187
Spirit Academy,924,7900
ex-Zero Tenacity,920,13573
BOSS,914,12534
kONO,908,12858
Bounty Hunters,906,12776
NOVAQ,904,13178
Omega,903,13479
Galorys,901,12677
DEPO,901,12536
Eternal Fire,900,11251
Partizan,895,11838
Atrix,891,12533
WW,889,12967
HEROIC Academy,885,13233
CPH Wolves,884,4548
Keyd Stars,883,6033
WHITEBIRD,878,13583
Bebop,877,13613
Partizan,877,11838
Dusty Roots,875,12548
Mindfreak,874,11668
Keyd Stars,874,6033
NIP Impact,868,11917
Prestige,867,13159
Famalicão,863,13364
Eternal Fire,858,11251
FURIA fe,857,10976
THUNDER dOWNUNDER,856,13486
Lilmix,855,9735
Mousquetaires,854,13251
MASONIC,848,10867
CSDIILIT,844,13340
AMKAL,843,12586
Impulse GW,842,13266
ENCE Academy,841,11790
Rooster,840,9881
Sakura,834,13531
9BOOMPRO,826,13380
BRUTE,821,9139
ALLINNERS,819,12812
Ground Zero,814,8536
Change The Game,801,13175
Eruption,798,12097
BASEMENT BOYS,796,13181
VP.Prodigy,796,10864
HEROIC,794,7175
Pigeons,793,12721
Bushido Wildcats,787,13281
BORING PLAYERS,786,12948
Let Her Cook,784,12421
KRÜ,777,10900
HyperSpirit,775,13012
Last Bullet,771,13433
QWENTRY,768,13510
AaB,764,9621
FOLHA AMARELA,761,13475
Phantom,760,13173
FlyQuest RED,759,12301
Betclic,758,12916
Oxuji,758,13553
Dziuseppe,757,13465
Just Swing,755,13053
LP,751,13304
Rooster,751,9881
Washington,749,13483
MANA,746,13310
MIBR,746,9215
regain,743,12554
Procyon,740,10997
LAG,738,11955
aimclub,735,6810
Universe,733,13618
OverKnight,727,10901
Oruga,726,13627
Mythic,721,5479
Vasco,720,13413
SAW,717,10567
SportsBetExpert,713,13375
Underground,709,12707
The QUBE,702,12825
Players,697,11711
Partizan,697,11838
Phoenix,694,12909
ComeBack,691,13506
Nemesis Impact,688,13405
GameHunters,687,12988
Zomblers,687,12164
Flame Sharks fe,687,13406
Fingers Crossed fe,686,13516
EC BANGA,684,12568
NomadS,683,12900
KHAN,681,11175
InControl,679,7720
Four Magic fe,674,13451
8Sins,670,13024
Peekaboo,669,13393
ALLINNERS,667,12812
Young Ninjas,665,10960
thekillaz fe,660,12912
Legion,659,10287
888aura,656,13383
Akimbo,655,12567
m1x,652,7376
LITE,650,13542
GATERON,650,13102
Curralzinho,646,13417
FACEITPLAYERS,643,13441
Black Mold,641,13143
japczany,640,13614
Aether,638,12908
BIG Academy,635,10254
Ghost,634,7801
Getting Info,630,13106
Nocturnal,628,13398
hindsight,628,13395
AKA HERO KAJO,626,13142
wwaves,626,13381
ScarX,625,13217
LAG,620,11955
Dusty Roses,618,13412
Underground,616,12707
Money Crew,614,13469
Lotus fe,614,12702
Vantage,610,12455
IHC,610,11585
SINQU,609,13571
777,609,10943
Outfit 49,601,13294
G2 Ares,600,12889
Bad Luck,591,13342
Tricked,589,4602
CALAOSCORNOS,584,13556
Fuego,583,13511
GameHunters,582,12988
Prison Breakers,580,13512
TSG,578,13328
Four Magic,577,13520
Crashers,576,6788
F5,568,13201
Take Flyte,566,11660
Straight2Killin,563,13180
Pulse,561,13559
rottweilers,560,13643
BIG,559,7532
THE,557,12955
FUT Academy,556,13474
VRSoholics,555,13485
Reign Above,555,13425
ex-HEROIC Academy,542,13431
The Glecs,541,13369
INFINITE,540,10823
Passion UA,536,12426
