matchid,playerid,teamid,mapid,sideid,k,d,ek,ed,roundswing,adr,eadr,kast,ekast,rating
2388913,21159,11737,1,1,8.0,10.0,9.0,10.0,-1.57,64.6,68.1,41.7,46.1,0.82
2388913,20879,11737,1,1,6.0,9.0,7.0,9.0,-2.29,59.8,65.4,66.7,45.5,0.72
2388913,21012,11737,1,1,6.0,9.0,7.0,9.0,-8.86,64.2,70.5,75.0,57.3,0.58
2388913,3849,11737,1,1,5.0,11.0,6.0,11.0,-6.82,63.0,66.0,58.3,56.5,0.51
2388913,22914,11737,1,1,4.0,12.0,5.0,12.0,-5.8,48.2,54.2,50.0,54.8,0.5
2388913,21012,11737,1,2,13.0,4.0,11.0,5.0,11.18,116.2,101.6,90.9,82.4,2.09
2388913,20879,11737,1,2,11.0,4.0,10.0,4.0,4.61,89.3,79.7,90.9,84.7,1.58
2388913,3849,11737,1,2,10.0,5.0,9.0,6.0,6.28,106.3,98.6,81.8,72.4,1.56
2388913,22914,11737,1,2,9.0,4.0,8.0,5.0,6.52,67.0,57.6,90.9,82.4,1.5
2388913,21159,11737,1,2,9.0,6.0,9.0,7.0,5.03,88.5,83.5,72.7,65.2,1.4
2388913,20584,13286,4,0,12.0,14.0,12.0,14.0,-1.68,76.2,74.7,55.6,60.1,1.07
2388913,23553,13286,4,0,10.0,12.0,11.0,12.0,1.96,65.3,69.7,72.2,71.7,1.07
2388913,20761,13286,4,0,12.0,14.0,13.0,13.0,-2.84,56.9,60.3,66.7,72.3,0.94
2388913,22674,13286,4,0,6.0,14.0,6.0,14.0,-4.83,48.6,51.3,61.1,48.3,0.56
2388913,22203,13286,4,0,6.0,16.0,6.0,15.0,-5.98,52.4,55.9,61.1,60.9,0.54
2388913,20761,13286,4,1,6.0,5.0,6.0,5.0,4.71,96.8,104.0,83.3,93.7,1.52
2388913,22203,13286,4,1,4.0,5.0,4.0,5.0,-0.91,75.3,78.4,66.7,72.7,0.96
2388913,23553,13286,4,1,2.0,6.0,2.0,6.0,0.0,38.5,38.9,66.7,74.5,0.63
2388913,22674,13286,4,1,3.0,6.0,4.0,6.0,-7.12,63.0,67.3,66.7,37.9,0.53
2388913,20584,13286,4,1,1.0,5.0,1.0,5.0,-13.58,30.2,29.6,33.3,37.9,0.25
2388913,20584,13286,4,2,11.0,9.0,11.0,9.0,4.27,99.2,97.2,66.7,71.2,1.48
2388913,23553,13286,4,2,8.0,6.0,9.0,6.0,2.95,78.8,85.1,75.0,70.3,1.29
2388913,20761,13286,4,2,6.0,9.0,6.0,9.0,-6.61,36.9,38.5,58.3,61.6,0.66
2388913,22674,13286,4,2,3.0,8.0,3.0,8.0,-3.69,41.4,43.3,58.3,53.5,0.57
2388913,22203,13286,4,2,2.0,11.0,2.0,11.0,-8.52,40.9,44.7,58.3,55.0,0.32
2388913,21012,11737,4,0,13.0,7.0,13.0,8.0,7.6,76.8,75.2,88.9,79.2,1.53
2388913,21159,11737,4,0,18.0,9.0,16.0,10.0,1.76,106.3,94.8,88.9,81.4,1.52
2388913,20879,11737,4,0,16.0,10.0,16.0,11.0,3.07,84.1,82.7,83.3,73.7,1.33
2388913,22914,11737,4,0,10.0,9.0,10.0,10.0,0.6,69.0,68.6,88.9,74.2,1.05
2388913,3849,11737,4,0,13.0,11.0,11.0,13.0,0.34,65.6,58.0,66.7,64.1,0.95
2388913,21012,11737,4,1,9.0,4.0,10.0,5.0,8.78,79.7,80.7,100.0,90.8,1.67
2388913,21159,11737,4,1,13.0,6.0,13.0,7.0,3.88,108.1,104.6,83.3,76.0,1.66
2388913,22914,11737,4,1,6.0,6.0,6.0,7.0,-0.15,67.2,67.0,91.7,74.3,0.98
2388913,20879,11737,4,1,6.0,7.0,6.0,8.0,0.75,51.8,51.9,75.0,71.4,0.9
2388913,3849,11737,4,1,9.0,7.0,7.0,8.0,-1.65,70.0,57.6,58.3,55.8,0.82
2388913,20879,11737,4,2,10.0,3.0,10.0,3.0,7.7,148.7,144.4,100.0,78.4,2.2
2388913,21012,11737,4,2,4.0,3.0,3.0,3.0,5.25,71.2,64.2,66.7,55.9,1.24
2388913,21159,11737,4,2,5.0,3.0,3.0,3.0,-2.49,102.8,75.2,100.0,92.2,1.23
2388913,3849,11737,4,2,4.0,4.0,4.0,4.0,4.33,56.8,58.9,83.3,80.7,1.23
2388913,22914,11737,4,2,4.0,3.0,4.0,3.0,2.1,72.7,71.8,83.3,73.9,1.21
2388915,9254,13404,0,0,33.0,23.0,31.0,23.0,7.29,93.3,87.9,87.2,87.6,1.57
2388915,19509,13404,0,0,34.0,21.0,38.0,21.0,3.36,89.5,95.3,92.3,90.7,1.53
2388915,8371,13404,0,0,38.0,24.0,34.0,25.0,2.87,97.9,92.1,84.6,80.9,1.38
2388915,18749,13404,0,0,27.0,25.0,27.0,25.0,2.39,73.9,72.9,87.2,87.1,1.23
2388915,21239,13404,0,0,26.0,23.0,25.0,23.0,-2.81,66.3,64.0,74.4,77.6,0.98
2388915,9254,13404,0,1,19.0,6.0,17.0,6.0,9.87,107.3,96.9,95.0,91.3,1.84
2388915,8371,13404,0,1,24.0,8.0,21.0,9.0,6.17,109.5,98.4,90.0,83.0,1.71
2388915,19509,13404,0,1,19.0,7.0,20.0,9.0,2.34,89.3,90.1,100.0,91.7,1.51
2388915,18749,13404,0,1,17.0,11.0,16.0,12.0,3.7,85.8,79.6,85.0,78.7,1.32
2388915,21239,13404,0,1,14.0,9.0,11.0,10.0,-1.62,75.0,66.7,85.0,85.0,1.03
2388915,19509,13404,0,2,15.0,14.0,17.0,13.0,4.43,89.7,100.8,84.2,89.6,1.54
2388915,9254,13404,0,2,14.0,17.0,14.0,16.0,4.56,78.6,78.3,78.9,83.7,1.29
2388915,18749,13404,0,2,10.0,14.0,11.0,13.0,1.01,61.5,65.8,89.5,95.9,1.13
