matchID,teamID,score,mapID,sideID,date
2389273,11737,0,0,0,2026-01-18
2389273,9565,2,0,0,2026-01-18
2389273,11737,5,1,1,2026-01-18
2389273,9565,7,1,2,2026-01-18
2389273,11737,7,1,2,2026-01-18
2389273,9565,5,1,1,2026-01-18
2389273,11737,16,1,0,2026-01-18
2389273,9565,19,1,0,2026-01-18
2389273,11737,7,2,1,2026-01-18
2389273,9565,5,2,2,2026-01-18
2389273,11737,1,2,2,2026-01-18
2389273,9565,8,2,1,2026-01-18
2389273,11737,8,2,0,2026-01-18
2389273,9565,13,2,0,2026-01-18
2389272,13117,0,0,0,2026-01-18
2389272,7020,2,0,0,2026-01-18
2389272,13117,3,3,2,2026-01-18
2389272,7020,9,3,1,2026-01-18
2389272,13117,5,3,1,2026-01-18
2389272,7020,4,3,2,2026-01-18
2389272,13117,8,3,0,2026-01-18
2389272,7020,13,3,0,2026-01-18
2389272,13117,3,4,1,2026-01-18
2389272,7020,9,4,2,2026-01-18
2389272,13117,2,4,2,2026-01-18
2389272,7020,4,4,1,2026-01-18
2389272,13117,5,4,0,2026-01-18
2389272,7020,13,4,0,2026-01-18
2389271,12467,2,0,0,2026-01-18
2389271,6665,0,0,0,2026-01-18
2389271,12467,11,4,2,2026-01-18
2389271,6665,1,4,1,2026-01-18
2389271,12467,2,4,1,2026-01-18
2389271,6665,0,4,2,2026-01-18
2389271,12467,13,4,0,2026-01-18
2389271,6665,1,4,0,2026-01-18
2389271,12467,8,3,2,2026-01-18
2389271,6665,4,3,1,2026-01-18
2389271,12467,5,3,1,2026-01-18
2389271,6665,4,3,2,2026-01-18
2389271,12467,13,3,0,2026-01-18
2389271,6665,8,3,0,2026-01-18
2389270,11811,0,0,0,2026-01-17
2389270,11283,2,0,0,2026-01-17
2389270,11811,6,5,2,2026-01-17
2389270,11283,6,5,1,2026-01-17
2389270,11811,4,5,1,2026-01-17
2389270,11283,7,5,2,2026-01-17
2389270,11811,10,5,0,2026-01-17
2389270,11283,13,5,0,2026-01-17
2389270,11811,5,6,1,2026-01-17
2389270,11283,7,6,2,2026-01-17
2389270,11811,2,6,2,2026-01-17
2389270,11283,6,6,1,2026-01-17
2389270,11811,7,6,0,2026-01-17
2389270,11283,13,6,0,2026-01-17
2389269,9928,2,0,0,2026-01-17
2389269,11861,1,0,0,2026-01-17
2389269,9928,4,7,2,2026-01-17
2389269,11861,8,7,1,2026-01-17
2389269,9928,8,7,1,2026-01-17
2389269,11861,4,7,2,2026-01-17
2389269,9928,16,7,0,2026-01-17
2389269,11861,13,7,0,2026-01-17
2389269,9928,4,4,1,2026-01-17
2389269,11861,8,4,2,2026-01-17
2389269,9928,6,4,2,2026-01-17
2389269,11861,5,4,1,2026-01-17
2389269,9928,10,4,0,2026-01-17
2389269,11861,13,4,0,2026-01-17
2389269,9928,10,6,2,2026-01-17
2389269,11861,2,6,1,2026-01-17
2389269,9928,3,6,1,2026-01-17
2389269,11861,3,6,2,2026-01-17
2389269,9928,13,6,0,2026-01-17
2389269,11861,5,6,0,2026-01-17
2389268,13404,1,0,0,2026-01-17
2389268,5973,2,0,0,2026-01-17
2389268,13404,9,7,2,2026-01-17
2389268,5973,3,7,1,2026-01-17
2389268,13404,4,7,1,2026-01-17
2389268,5973,4,7,2,2026-01-17
2389268,13404,13,7,0,2026-01-17
2389268,5973,7,7,0,2026-01-17
2389268,13404,6,6,1,2026-01-17
2389268,5973,6,6,2,2026-01-17
2389268,13404,3,6,2,2026-01-17
2389268,5973,7,6,1,2026-01-17
2389268,13404,9,6,0,2026-01-17
2389268,5973,13,6,0,2026-01-17
2389268,13404,2,5,2,2026-01-17
2389268,5973,10,5,1,2026-01-17
2389268,13404,1,5,1,2026-01-17
2389268,5973,3,5,2,2026-01-17
2389268,13404,3,5,0,2026-01-17
2389268,5973,13,5,0,2026-01-17
2389267,4773,0,0,0,2026-01-17
2389267,7175,2,0,0,2026-01-17
2389267,7175,2,0,0,2026-01-17
2389267,4773,3,5,2,2026-01-17
2389267,7175,9,5,1,2026-01-17
2389267,7175,9,5,1,2026-01-17
2389267,4773,3,5,1,2026-01-17
2389267,7175,4,5,2,2026-01-17
2389267,7175,4,5,2,2026-01-17
2389267,4773,6,5,0,2026-01-17
2389267,7175,13,5,0,2026-01-17
2389267,7175,13,5,0,2026-01-17
2389267,4773,6,6,1,2026-01-17
2389267,7175,6,6,2,2026-01-17
2389267,7175,6,6,2,2026-01-17
2389267,4773,6,6,2,2026-01-17
2389267,7175,6,6,1,2026-01-17
2389267,7175,6,6,1,2026-01-17
2389267,4773,14,6,0,2026-01-17
2389267,7175,16,6,0,2026-01-17
2389267,7175,16,6,0,2026-01-17
