teamID,name
8297,FURIA
9565,Vitality
11283,Falcons
7020,Spirit
4608,Natus Vincere
4494,MOUZ
6667,FaZe
6248,The MongolZ
11241,B8
11861,Aurora
5973,Liquid
12468,Legacy
5995,G2
12467,PARIVISION
4914,3DMAX
6665,Astralis
13286,FUT
4411,Ninjas in Pyjamas
4773,paiN
7175,HEROIC
10567,SAW
12426,Passion UA
9928,GamerLegion
6673,NRG
12376,M80
13404,Gentle Mates
11581,HOTU
12394,BetBoom
9455,Imperial
4991,fnatic
11737,EYEBALLERS
8113,Sharks
10278,9INE
12895,K27
9215,MIBR
11811,Monte
12774,FlyQuest
11419,ECSTATIC
13547,Friendly Campers
12144,BESTIA
12474,Alliance
12380,CYBERSHOKE
10577,SINNERS
13117,Inner Circle
11837,Fluxo
4869,ENCE
7532,BIG
13470,Oramond
8840,Lynn Vision
10503,OG
11712,Sashi
13355,Nemesis
4602,Tricked
13124,Marsborne
13592,magic
11514,Rare Atom
11176,MOUZ NXT
12604,Johnny Speeds
13027,Nuclear TigeRES
5378,Virtus.pro
10333,Sangal
13314,KOLESIE
9996,9z
13237,AM
7532,BIG
13499,Voca
12000,500
11609,GenOne
4863,TYLOO
12510,The Huns
13173,Phantom
10975,MIBR fe
11718,BIG EQUIPA
13466,Fingers Crossed
13602,Morningstar
13297,33
12960,Fire Flux
11641,Metizport
10621,1win
12818,FAVBET
13617,ex-RUBY
13501,illwill
13214,SPARTA
7969,Nemiga
7176,RED Canids
13333,ASTRAL
13414,Rave
13355,Nemesis
10459,ARCRED
9621,AaB
13518,Acend
12857,FORZE Reload
13623,STATE
12878,BC.Game
12257,Wildcard
10245,JiJieHao
6626,MINLATE
12642,Rebels
11446,Leo
12899,FengDa
13551,OlyBet
11768,ODDIK
12087,Lazer Cats
11018,megoshort
12267,UNiTY
11571,Gaimin Gladiators
12646,Chinggis Warriors
12916,Betclic
13573,ex-Zero Tenacity
7900,Spirit Academy
11571,Gaimin Gladiators
10854,los kogutos
12959,ShindeN
13163,ALGO
12534,BOSS
7187,Nexus
12858,kONO
13479,Omega
4548,CPH Wolves
12776,Bounty Hunters
12677,Galorys
12536,DEPO
13178,NOVAQ
12901,SemperFi
12967,WW
12533,Atrix
11838,Partizan
11838,Partizan
13081,Fake do Biru
13233,HEROIC Academy
6033,Keyd Stars
13583,WHITEBIRD
7865,HAVU
11668,Mindfreak
13364,Famalicão
13613,Bebop
10867,MASONIC
12548,Dusty Roots
11917,NIP Impact
13159,Prestige
11251,Eternal Fire
13486,THUNDER dOWNUNDER
10976,FURIA fe
6033,Keyd Stars
12812,ALLINNERS
13266,Impulse GW
12586,AMKAL
13251,Mousquetaires
13181,BASEMENT BOYS
9881,Rooster
13380,9BOOMPRO
13531,Sakura
11790,ENCE Academy
11933,Yawara
12721,Pigeons
10864,VP.Prodigy
7175,HEROIC
8536,Ground Zero
13340,CSDIILIT
13175,Change The Game
11251,Eternal Fire
13281,Bushido Wildcats
13012,HyperSpirit
12948,BORING PLAYERS
12421,Let Her Cook
13231,Ursa
13433,Last Bullet
12097,Eruption
12916,Betclic
9621,AaB
13173,Phantom
13465,Dziuseppe
10900,KRÜ
13510,QWENTRY
12301,FlyQuest RED
13553,Oxuji
13053,Just Swing
10997,Procyon
9881,Rooster
9139,BRUTE
12554,regain
9215,MIBR
11955,LAG
6810,aimclub
13618,Universe
10901,OverKnight
13475,FOLHA AMARELA
5479,Mythic
10567,SAW
13483,Washington
11838,Partizan
13375,SportsBetExpert
13310,MANA
12707,Underground
12825,The QUBE
12909,Phoenix
13506,ComeBack
12164,Zomblers
11175,KHAN
12900,NomadS
11711,Players
13516,Fingers Crossed fe
13406,Flame Sharks fe
13405,Nemesis Impact
7720,InControl
12568,EC BANGA
12812,ALLINNERS
13024,8Sins
13393,Peekaboo
13451,Four Magic fe
7532,BIG
7376,m1x
12912,thekillaz fe
12567,Akimbo
10287,Legion
10960,Young Ninjas
13383,888aura
13102,GATERON
13304,LP
13542,LITE
13441,FACEITPLAYERS
13106,Getting Info
13417,Curralzinho
12908,Aether
13143,Black Mold
7801,Ghost
11955,LAG
13395,hindsight
13398,Nocturnal
13217,ScarX
13381,wwaves
13142,AKA HERO KAJO
13469,Money Crew
13412,Dusty Roses
12707,Underground
12702,Lotus fe
12889,G2 Ares
11585,IHC
12455,Vantage
4602,Tricked
13294,Outfit 49
9735,Lilmix
10943,777
13614,japczany
13556,CALAOSCORNOS
13328,TSG
13511,Fuego
12988,GameHunters
13201,F5
11660,Take Flyte
13413,Vasco
13485,VRSoholics
13180,Straight2Killin
6788,Crashers
13559,Pulse
13571,SINQU
13425,Reign Above
12955,THE
13474,FUT Academy
13520,Four Magic
13512,Prison Breakers
13369,The Glecs
12426,Passion UA
13431,ex-HEROIC Academy
13545,Haemus
10823,INFINITE
13466,Fingers Crossed
11109,BBBMBCBS
13453,HubaBuba
12916,Betclic
12988,GameHunters
13369,The Glecs
13327,R2
10299,FURY
13127,Wildcard Academy
12973,NuTorious
12971,Wanted Goons
12908,Aether
13434,Square Sausages
13352,SENZA
13515,amateurs
12152,KZG
12463,CAPIVARAS
11585,IHC
13316,Animus Victoria
11497,Little Bocks
13342,Bad Luck
12646,Chinggis Warriors
11711,Players
13212,ex-TALON
13502,Arise
11905,paiN Academy
13543,Timewaves
13397,NYX
7441,ECLOT
6033,Keyd Stars
13353,Arrival Seven
13206,anything else
3044,MIBR Academy
13047,EXSAD
13321,Falcons Force
13534,Memeories
11988,GLORE
13459,ex-Inner Circle
13342,Bad Luck
13265,MAGICOS
12483,MIGHT
13265,MAGICOS
13624,ELITES
